LocationID,ApogeeID,min_log(R51),min_log(R101),min_log(R151),min_log(R151/R101),min_log(R101/R51),max_log(xr),Identifier
139,4217,2M00493548+8352375,0.9031,0.8321,0.7668,-0.16,-0.2438,1.6987,JRC
140,5067,2M00493568+8544408,0.8465,0.9227,0.9042,-0.0269,0.0044,1.2978,JRC
141,5049,2M00500064+0237292,0.531,0.6653,0.7484,0.07200000000000001,0.126,1.2891,JRC
142,5135,2M00511245-1324437,0.4905,0.6372,0.7247,0.0875,0.1467,0.5576,JRC
143,5113,2M00512463+4034022,0.6193,0.7627,0.775,0.0086,0.1388,0.9009,JRC
144,5113,2M00524843+4117222,0.7864,0.902,0.9187,-0.2207,0.0609,1.2586,JRC
145,5113,2M00525660+4042487,0.9247,0.8278,0.7614,-0.0663,-0.1079,1.3637,JRC
146,5113,2M00531758+3917111,0.6941,0.8058,0.8802,0.023,0.1116,0.8798,JRC
147,5113,2M00535326+4023480,0.9872,0.9591,0.9547,-0.0348,-0.08900000000000001,1.1108,JRC
148,5113,2M00542052+4034354,0.9888,1.1056,1.1773,0.0635,0.1169,1.3058,JRC
149,4217,2M00542989+8450545,0.9185,0.8547,0.8959999999999999,-0.0544,-0.0639,1.3651,JRC
150,4217,2M00561095+8527325,0.9828,0.8691,0.7815,-0.1145,-0.4396,1.3742,JRC
151,5099,2M00572473+6258292,0.9315,0.7809,0.7306,-0.0505,-0.16699999999999998,1.6776,JRC
152,5067,2M00574795+8502290,0.6186,0.4988,0.5022,0.0033,-0.3852,1.5911,JRC
153,5099,2M00581292+6332015,0.5886,0.7278,0.8081,0.0803,0.1392,0.8766,JRC
154,5113,2M00584312+4024232,0.9548,0.774,0.774,-0.0017,-0.1808,1.1335,JRC
155,5113,2M00590540+3912436,0.6509999999999999,0.7768,0.8269,0.0292,-0.0013,1.0888,JRC
156,4217,2M00593409+8503084,0.8849,0.4822,0.5641,0.0796,-0.6735,1.3562,JRC
157,5099,2M01010269+6357098,0.9646,0.6883,0.5309,-0.1648,-0.522,1.6539,JRC
158,5099,2M01030042+6249274,0.4941,0.5616,0.6325,-0.0501,-0.1758,1.2279,JRC
159,5099,2M01030541+6244515,0.8536,0.7362,0.7456,-0.0255,-0.1174,1.3006,JRC
160,5099,2M01031300+6145544,0.7675,0.9034,0.9839,0.0724,0.1254,0.9109,JRC
161,5099,2M01033993+6418058,0.9294,0.9198,0.9184,-0.1786,-0.1418,1.2877,JRC
162,5048,2M01053790+5116300,0.3493,0.3119,0.3806,0.0571,-0.4913,1.5232,JRC
163,5099,2M01053914+6251242,0.7407,0.8519,0.932,0.0417,0.0563,1.6130000000000002,JRC
164,4217,2M01071003+8427224,0.9717,1.1105,1.1847,0.0582,0.1117,0.708,JRC
165,4217,2M01073954+8504072,0.9006,1.0147,1.0924,0.0177,0.1072,0.5576,JRC
166,4414,2M01081115+6718065,0.8304,0.7926,0.7845,-0.0081,-0.0378,1.2881,JRC
167,5048,2M01082597+5016532,0.8814,1.0182,1.0827,-0.0729,0.1115,0.7228,JRC
168,4414,2M01103850+6655525,0.7709,0.9129,0.9938,0.0373,0.1243,0.574,JRC
169,5099,2M01122554+6220283,0.8764,0.993,1.0581,-0.0926,-0.0052,0.6411,JRC
170,4217,2M01154526+8505404,0.7556,0.8759999999999999,0.9573,-0.1571,-0.4207,1.2172,JRC
171,4217,2M01173510+8617084,0.82,0.8915,0.9587,-0.0829,0.0582,1.3134,JRC
172,5058,2M01181073+7513504,0.9526,0.8784,0.8372,-0.0466,-0.0742,1.5975,JRC
173,4217,2M01193634+8435481,0.3095,0.4233,0.502,0.0144,0.0303,0.9520000000000001,JRC
174,4477,2M01210468+1703135,0.9338,1.0528,1.1019,-0.0621,0.1047,0.7939,JRC
175,4477,2M01210892+1725542,0.8791,1.0132,1.0877,-0.0675,-0.1316,1.4157,JRC
176,4477,2M01213129+1703294,0.7455,0.8674,0.9009,-0.1135,-0.0129,1.3573,JRC
177,4477,2M01222022+1714058,0.9661,1.0832,1.1129,0.0297,0.1139,0.7058,JRC
178,4477,2M01224310+1711493,0.9754,1.0614,1.1051,0.032,-0.0684,0.9098,JRC
179,4318,2M01232188+6220546,0.4439,0.5327,0.5993,0.061,0.0888,1.4784,JRC
180,4477,2M01234718+1547209,0.8914,1.0348,1.0285,-0.0625,0.11,1.0967,JRC
181,4477,2M01240212+1712236,0.9957,1.0209,1.0183,-0.1526,-0.1772,1.7338,JRC
182,4477,2M01243365+1639063,0.9871,1.0685,1.1382,0.0571,0.0814,0.6908,JRC
183,4477,2M01252951+1737245,0.5858,0.7235,0.7966,-0.0887,-0.2331,0.5843,JRC
184,4477,2M01263693+1558112,0.9979,1.1124,1.168,0.0024,0.0375,1.2371,JRC
185,4477,2M01271468+1544074,0.9235,1.0295,1.1042,0.001,-0.0025,1.2224,JRC
186,4477,2M01272947+1759561,0.8528,0.9958,1.0654,-0.004,0.0969,1.0752,JRC
187,4477,2M01273255+1554320,0.7143,0.862,0.9425,0.065,0.1328,0.5942,JRC
188,4477,2M01281616+1656509,0.8804,0.9876,0.9232,-0.0644,-0.0659,0.846,JRC
189,4477,2M01281972+1731200,0.8659,0.9282,0.987,0.0588,0.0623,0.6274,JRC
190,4477,2M01291705+1722515,0.9191,1.0604,1.0498,-0.0518,0.0635,1.0031,JRC
191,4477,2M01304801+1645376,0.9111,0.9761,1.0221,-0.1147,0.0651,1.2770000000000001,JRC
192,4477,2M01311367+1654026,0.9484,1.0888,1.1237,-0.031,0.1278,0.7343,JRC
193,4425,2M01321071+6634585,0.7885,0.4833,0.4397,-0.0436,-0.3225,1.2895,JRC
194,4318,2M01321516+6337140,0.8105,0.6668,0.6057,-0.1052,-0.1437,1.4386,JRC
195,4318,2M01325477+6205304,0.7826,0.9159,0.9838,0.0114,0.0851,0.9917,JRC
196,4217,2M01343480+8456365,0.5859,0.7298,0.8137,0.0477,0.1245,0.6995,JRC
197,4425,2M01345988+6651462,0.6441,0.728,0.8012,-0.062,0.0083,1.1267,JRC
